timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/07/28 10:46:51.738, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 28.26 W
2026/07/28 10:46:52.241, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 25.38 W
2026/07/28 10:46:52.742, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 24.77 W
2026/07/28 10:46:53.244, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 19.39 W
2026/07/28 10:46:53.746, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 15.32 W
2026/07/28 10:46:54.248, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 11.39 W
2026/07/28 10:46:54.749, 0, NVIDIA GeForce RTX 5080, 1 %, 1 %, 3972 MiB, 16303 MiB, 8.30 W
2026/07/28 10:46:55.251, 0, NVIDIA GeForce RTX 5080, 68 %, 49 %, 3972 MiB, 16303 MiB, 13.29 W
2026/07/28 10:46:55.753, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 26.48 W
2026/07/28 10:46:56.254, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 39.97 W
2026/07/28 10:46:56.756, 0, NVIDIA GeForce RTX 5080, 9 %, 5 %, 3972 MiB, 16303 MiB, 37.87 W
2026/07/28 10:46:57.257, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 36.56 W
2026/07/28 10:46:57.759, 0, NVIDIA GeForce RTX 5080, 13 %, 9 %, 3972 MiB, 16303 MiB, 33.29 W
2026/07/28 10:46:58.260, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 30.74 W
2026/07/28 10:46:58.761, 0, NVIDIA GeForce RTX 5080, 13 %, 9 %, 3972 MiB, 16303 MiB, 31.07 W
2026/07/28 10:46:59.263, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 30.94 W
2026/07/28 10:46:59.764, 0, NVIDIA GeForce RTX 5080, 13 %, 9 %, 3972 MiB, 16303 MiB, 30.66 W
2026/07/28 10:47:00.265, 0, NVIDIA GeForce RTX 5080, 4 %, 2 %, 3972 MiB, 16303 MiB, 31.09 W
2026/07/28 10:47:00.766, 0, NVIDIA GeForce RTX 5080, 12 %, 9 %, 3972 MiB, 16303 MiB, 30.38 W
2026/07/28 10:47:01.268, 0, NVIDIA GeForce RTX 5080, 13 %, 9 %, 3972 MiB, 16303 MiB, 30.64 W
2026/07/28 10:47:01.768, 0, NVIDIA GeForce RTX 5080, 12 %, 9 %, 3972 MiB, 16303 MiB, 30.91 W
2026/07/28 10:47:02.270, 0, NVIDIA GeForce RTX 5080, 13 %, 9 %, 3972 MiB, 16303 MiB, 30.15 W
